country,country_iso,weo_country_code
Afghanistan,AFG,512
Albania,ALB,914
Algeria,DZA,612
Andorra,AND,171
Angola,AGO,614
Antigua and Barbuda,ATG,311
Argentina,ARG,213
Armenia,ARM,911
Aruba,ABW,314
Australia,AUS,193
Austria,AUT,122
Azerbaijan,AZE,912
The Bahamas,BHS,313
Bahrain,BHR,419
Bangladesh,BGD,513
Barbados,BRB,316
Belarus,BLR,913
Belgium,BEL,124
Belize,BLZ,339
Benin,BEN,638
Bhutan,BTN,514
Bolivia,BOL,218
Bosnia and Herzegovina,BIH,963
Botswana,BWA,616
Brazil,BRA,223
Brunei Darussalam,BRN,516
Bulgaria,BGR,918
Burkina Faso,BFA,748
Burundi,BDI,618
Cabo Verde,CPV,624
Cambodia,KHM,522
Cameroon,CMR,622
Canada,CAN,156
Central African Republic,CAF,626
Chad,TCD,628
Chile,CHL,228
China,CHN,924
Colombia,COL,233
Comoros,COM,632
Democratic Republic of the Congo,COD,636
Republic of Congo,COG,634
Costa Rica,CRI,238
CÙte d'Ivoire,CIV,662
Croatia,HRV,960
Cyprus,CYP,423
Czech Republic,CZE,935
Denmark,DNK,128
Djibouti,DJI,611
Dominica,DMA,321
Dominican Republic,DOM,243
Ecuador,ECU,248
Egypt,EGY,469
El Salvador,SLV,253
Equatorial Guinea,GNQ,642
Eritrea,ERI,643
Estonia,EST,939
Eswatini,SWZ,734
Ethiopia,ETH,644
Fiji,FJI,819
Finland,FIN,172
France,FRA,132
Gabon,GAB,646
The Gambia,GMB,648
Georgia,GEO,915
Germany,DEU,134
Ghana,GHA,652
Greece,GRC,174
Grenada,GRD,328
Guatemala,GTM,258
Guinea,GIN,656
Guinea-Bissau,GNB,654
Guyana,GUY,336
Haiti,HTI,263
Honduras,HND,268
Hong Kong SAR,HKG,532
Hungary,HUN,944
Iceland,ISL,176
India,IND,534
Indonesia,IDN,536
Islamic Republic of Iran,IRN,429
Iraq,IRQ,433
Ireland,IRL,178
Israel,ISR,436
Italy,ITA,136
Jamaica,JAM,343
Japan,JPN,158
Jordan,JOR,439
Kazakhstan,KAZ,916
Kenya,KEN,664
Kiribati,KIR,826
Korea,KOR,542
Kosovo,UVK,967
Kuwait,KWT,443
Kyrgyz Republic,KGZ,917
Lao P.D.R.,LAO,544
Latvia,LVA,941
Lebanon,LBN,446
Lesotho,LSO,666
Liberia,LBR,668
Libya,LBY,672
Lithuania,LTU,946
Luxembourg,LUX,137
Macao SAR,MAC,546
Madagascar,MDG,674
Malawi,MWI,676
Malaysia,MYS,548
Maldives,MDV,556
Mali,MLI,678
Malta,MLT,181
Marshall Islands,MHL,867
Mauritania,MRT,682
Mauritius,MUS,684
Mexico,MEX,273
Micronesia,FSM,868
Moldova,MDA,921
Mongolia,MNG,948
Montenegro,MNE,943
Morocco,MAR,686
Mozambique,MOZ,688
Myanmar,MMR,518
Namibia,NAM,728
Nauru,NRU,836
Nepal,NPL,558
Netherlands,NLD,138
New Zealand,NZL,196
Nicaragua,NIC,278
Niger,NER,692
Nigeria,NGA,694
North Macedonia,MKD,962
Norway,NOR,142
Oman,OMN,449
Pakistan,PAK,564
Palau,PLW,565
Panama,PAN,283
Papua New Guinea,PNG,853
Paraguay,PRY,288
Peru,PER,293
Philippines,PHL,566
Poland,POL,964
Portugal,PRT,182
Puerto Rico,PRI,359
Qatar,QAT,453
Romania,ROU,968
Russia,RUS,922
Rwanda,RWA,714
Samoa,WSM,862
San Marino,SMR,135
S„o TomÈ and PrÌncipe,STP,716
Saudi Arabia,SAU,456
Senegal,SEN,722
Serbia,SRB,942
Seychelles,SYC,718
Sierra Leone,SLE,724
Singapore,SGP,576
Slovak Republic,SVK,936
Slovenia,SVN,961
Solomon Islands,SLB,813
Somalia,SOM,726
South Africa,ZAF,199
South Sudan,SSD,733
Spain,ESP,184
Sri Lanka,LKA,524
St. Kitts and Nevis,KNA,361
St. Lucia,LCA,362
St. Vincent and the Grenadines,VCT,364
Sudan,SDN,732
Suriname,SUR,366
Sweden,SWE,144
Switzerland,CHE,146
Syria,SYR,463
Taiwan Province of China,TWN,528
Tajikistan,TJK,923
Tanzania,TZA,738
Thailand,THA,578
Timor-Leste,TLS,537
Togo,TGO,742
Tonga,TON,866
Trinidad and Tobago,TTO,369
Tunisia,TUN,744
T¸rkiye,TUR,186
Turkmenistan,TKM,925
Tuvalu,TUV,869
Uganda,UGA,746
Ukraine,UKR,926
United Arab Emirates,ARE,466
United Kingdom,GBR,112
United States,USA,111
Uruguay,URY,298
Uzbekistan,UZB,927
Vanuatu,VUT,846
Venezuela,VEN,299
Vietnam,VNM,582
West Bank and Gaza,WBG,487
Yemen,YEM,474
Zambia,ZMB,754
Zimbabwe,ZWE,698
NA,NA,NA
